student_id,school_id,local_id,age,female,f_col,gpa,private_component
0,0,0,15,0,0,1.0859438254759266,1.0859438254759266
1,0,1,13,0,1,2.1628539718988935,1.4100656694862137
2,0,2,14,1,1,2.917622646440968,1.9950060450545373
3,0,3,16,1,1,2.2973611987692006,2.2973611987692006
4,0,4,15,0,0,2.136059179830329,1.201545591984853
5,0,5,16,1,1,2.7853465895701164,2.008928096449211
6,0,6,14,0,1,2.353745783566076,1.0881319683846544
7,0,7,13,1,1,2.264530487465591,1.5109681829174062
8,0,8,15,1,0,2.151805563514853,1.2662684869070946
9,0,9,18,1,0,2.861310830979935,1.920315406086691
10,0,10,17,0,1,2.9691521044991043,1.8650776555507826
11,0,11,13,1,1,3.1967673859575774,1.9681352923033497
12,0,12,18,1,1,3.4206053710580657,2.418911260974291
13,0,13,15,1,1,2.95111547329354,1.929842171355275
14,0,14,14,0,0,2.1512629445613354,1.0588628706853915
15,0,15,15,0,1,2.6100978809329947,1.629377291192783
16,0,16,13,0,1,2.3471849631095054,1.4914221923503896
17,0,17,14,1,0,2.6627984477298865,1.7066403142199802
18,0,18,16,0,0,2.7590383009425814,1.6867280806674871
19,0,19,14,0,0,2.1244202638786227,1.3944102827227534
20,0,20,16,1,1,2.6580118931147885,1.8382210262130703
21,0,21,14,1,0,2.688221031639984,1.540526935289042
22,0,22,15,0,1,2.494875166549563,1.5115566386842443
23,0,23,13,1,1,2.7913080660149947,1.7879405256503904
24,0,24,14,0,0,1.4554889476752884,1.4554889476752884
25,0,25,14,1,1,2.575771604443839,1.760061733715546
26,0,26,16,1,1,3.0236522217315116,2.042476875295247
27,0,27,14,1,1,2.8610609480508558,1.728238838778957
28,0,28,15,0,1,2.9322314738273425,1.679024467838741
29,0,29,15,1,1,2.8191528091622224,2.0141062523713313
30,0,30,16,1,1,2.1413335795864796,2.1413335795864796
31,0,31,16,0,0,1.4179045265390187,1.4179045265390187
32,0,32,13,0,0,2.3268304810291776,1.1766487462127762
33,0,33,16,0,0,2.3705174528559705,1.5537131497690249
34,0,34,14,0,1,1.8802463406894954,1.8802463406894954
35,0,35,14,0,1,2.4930787735933126,1.5379776459221162
36,0,36,14,1,0,2.4724350077557955,1.3650352202669012
37,0,37,16,1,0,2.9936272021590344,1.8690687256515428
38,0,38,15,0,1,1.6466200753174531,1.6466200753174531
39,0,39,15,0,1,2.3592906724653777,1.6003225677410493
40,0,40,15,0,0,2.1428364339947583,1.329582524342567
41,0,41,15,0,0,2.007464859845983,1.2837744188796656
42,0,42,16,0,0,2.581842284016928,1.4589054231495502
43,0,43,14,0,0,2.1211912433110465,1.2601909710470243
44,0,44,18,0,1,2.5880719408366106,1.9772220912996288
45,0,45,16,0,1,2.708566080481172,1.7383171026328041
46,0,46,15,0,0,2.1838350411926326,1.2470716728241757
47,0,47,13,0,0,2.123865622243132,1.0706057483242042
48,0,48,15,1,0,2.534879061156096,1.6493614978666087
49,0,49,14,0,0,1.2126765460674052,1.2126765460674052
50,0,50,15,0,0,2.356754890529763,1.3203353353385476
51,0,51,14,0,0,2.2105310044489648,1.2828561057100953
52,0,52,17,1,1,2.8514057199807414,2.0381931923249565
53,0,53,15,1,1,2.8752853867410897,1.8597321238456055
54,0,54,16,1,0,1.6013514577822077,1.6013514577822077
55,0,55,15,1,0,2.12926768871314,1.2625243986462205
56,0,56,15,1,1,2.857396776009437,1.726033485241248
57,0,57,18,0,1,3.496171713679615,2.2264632165014433
58,0,58,13,1,0,1.778836314500459,1.096934556296598
59,0,59,17,1,1,2.9665154840053236,2.228050216932233
60,0,60,13,1,1,3.0610101528366447,1.9919418489502612
61,0,61,13,1,0,2.3498497710994544,1.4367801870750816
62,0,62,15,1,1,2.7442959470960524,1.6703002350642135
63,0,63,15,1,0,2.2000999633465774,1.541897750316132
64,0,64,16,1,0,2.240002344118679,1.3053290534296886
65,0,65,16,1,0,1.526310172166885,1.526310172166885
66,0,66,18,1,1,3.254314556618695,2.1956383901799317
67,0,67,13,0,1,1.6471616593252139,1.6471616593252139
68,0,68,14,1,1,2.403926628682553,1.5584714363831098
69,0,69,14,1,1,2.712926064906443,1.7323896541942645
70,0,70,14,1,0,2.289582805122145,1.3152719625624514
71,0,71,17,0,1,2.9073988695196515,2.0283115512639034
72,0,72,14,0,0,2.4155090942862856,1.3085639160218072
73,0,73,14,0,0,1.89307174191395,1.1951245263347376
74,0,74,14,1,1,2.9415598236474865,1.7809532299964475
75,0,75,15,1,0,2.6584860768267475,1.6417232618623114
76,0,76,14,1,1,2.8095230162457683,1.820517080758458
77,0,77,14,0,0,2.309752986245949,1.1244454074895525
78,0,78,14,0,1,2.9525253518148364,1.8875948432793856
79,0,79,14,1,1,2.3686886455662153,1.4711357255012238
80,0,80,15,0,0,2.7989773044033837,1.421417279902414
81,0,81,16,0,1,2.7883634592889335,1.9350060987588196
82,0,82,15,0,0,2.1141370268386455,1.3418010956534505
83,0,83,13,0,1,2.4262126716164008,1.4066588268530238
84,0,84,13,1,0,1.3331356195141233,1.3331356195141233
85,0,85,15,0,1,2.2965117509776203,1.6404047752220285
86,0,86,14,0,0,2.437570678894552,1.2243844627576808
87,0,87,13,0,0,2.142743104859533,1.0271546818561166
88,0,88,17,0,0,1.4473680986302955,1.4473680986302955
89,0,89,13,1,0,2.0574519149269332,1.2030146526061527
90,0,90,15,1,1,1.886526841833144,1.886526841833144
91,0,91,15,1,1,2.737905581914299,1.8240075875189017
92,0,92,15,1,1,3.233108995276849,1.9850690949574727
93,0,93,16,1,0,2.3869373139317185,1.4756261944719125
94,0,94,18,1,0,2.9265463422411258,2.0022945816311153
95,0,95,16,1,0,2.505545682917246,1.726290673915485
96,0,96,14,1,1,2.9036755945945023,1.8987297973420916
97,0,97,16,0,1,1.808922315749243,1.808922315749243
